newspaper_name,city,state,state_full
Times Dispatch The,Walnut Ridge,Ark.,Arkansas
Courier-News,Clinton,Tenn.,Tennessee
News-Villager Journal,Salem,Ark.,Arkansas
Ottawa Herald,Ottawa,Kan.,Kansas
Morgan Messenger The,Berkeley Springs,W.Va.,West Virginia
Citizen-Standard,Valley View,Pa.,Pennsylvania
Hempstead Beacon,Hempstead,N.Y.,New York
Geneseo Republic,Geneseo,Ill.,Illinois
Chesterton Tribune,Chesterton,Ind.,Indiana
Manchester Press The,Manchester,Iowa,Iowa
Huron Daily Tribune,Bad Axe,Mich.,Michigan
Iosco County News Herald,E Tawas,Mich.,Michigan
Belgrade Leader,Belgrade,Mont.,Montana
Alaska Star,Eagle River,Alaska,Alaska
Scott County Journal-Chronicle,Scottsburg,Ind.,Indiana
Shelburne News,Shelburne,Vt.,Vermont
Pocahontas Times The,Marlinton,W.Va.,West Virginia
Monroe County Democrat,Sparta,Wisc.,Wisconsin
Evening Sun,Hanover,Pa.,Pennsylvania
East Aurora Advertiser,East Aurora,N.Y.,New York
East Aurora Bee,East Aurora,N.Y.,New York
Charleston Times-Courier,Charleston,Ill.,Illinois
Valley Voice,Hellertown,Pa.,Pennsylvania
Anoka County Union Herald,Coon Rapids,Minn.,Minnesota
Welch Daily News,Welch,W.Va.,West Virginia
Chronicle The,Willimantic,Conn.,Connecticut
Sun Advocate,Price,Utah,Utah
Monroe County Beacon,Woodsfield,Ohio,Ohio
Tigard Tualatin Times,Tigard,Ore.,Oregon
Stephenville Empire-Tribune,Stephenville,Texas,Texas
Tyler County Booster,Woodville,Texas,Texas
Franklin Journal,Franklin,Maine,Maine
Centre View,Centreville,Va.,Virginia
Journal Opinion,Bradford,Vt.,Vermont
Rockport Pilot,Rockport,Texas,Texas
Clovis News-Journal,Clovis,N.M.,New Mexico
Uvalde Leader-News,Uvalde,Texas,Texas
Star Courier,Kewanee,Ill.,Illinois
Alsip Express,Aslip,Ill.,Illinois
Herald-News,Cayuga,Ind.,Indiana
Sequoyah County Times,Sallisaw,Okla.,Oklahoma
Malone Telegram,Malone,N.Y.,New York
Star The,Grand Coulee,Wash.,Washington
News-Messenger The,Fremont,Ohio,Ohio
Reporter-Times,Martinsville,Ind.,Indiana
Oconto County Reporter,Oconto,Wisc.,Wisconsin
Concordia Sentinel,Ferriday,La.,Louisiana
Mountaineer Progress,Wrightwood,Calif.,California
Fayette Falcon,Somerville,Tenn.,Tennessee
Preston County Journal,Kingwood,W.Va.,West Virginia
Union County Review,Liberty,Ind.,Indiana
Hollis Brookline Journal,Hollis,N.H.,New Hampshire
Stowe Reporter,Stowe,Vt.,Vermont
Walton Tribune,Monroe,Ga.,Georgia
Natick Bulletin & TAB,Natick,Mass.,Massachusetts
Herald and Tribune,Jonesborough,Tenn.,Tennessee
Greenwich Time,Greenwich,Conn.,Connecticut
News Banner,Bluffton,Ind.,Indiana
Snyder Daily News,Snyder,Texas,Texas
Dallas Post,Dallas,Pa.,Pennsylvania
Sparta Herald,Sparta,Wisc.,Wisconsin
Pahrump Valley Times,Pahrump,Nev.,Nevada
Creston News-Advertiser,Creston,Iowa,Iowa
Northville Eagle,Northville,Mich.,Michigan
Athol Daily News,Athol,Mass.,Massachusetts
Hillsborough Beacon,Hillsborough,N.J.,New Jersey
Daily Journal,Park Hills,Mo.,Missouri
Tempo,Machesney Park,Ill.,Illinois
Piedmonter,Alameda,Calif.,California
South Conty Independent,Newport,R.I.,Rhode Island
Township Times The,Saginaw Twp.,Mich.,Michigan
Brownsville States-Graphic,Brownsville,Tenn.,Tennessee
Lowell Tribune,Lowell,Ind.,Indiana
Pagosa Springs Sun,Pagosa Springs,Colo.,Colorado
ThisWeek Tri-Village News,Grandview Heights,Ohio,Ohio
Barnesville Enterprise,Barnesville,Ohio,Ohio
Sentinel,Fairmont,Minn.,Minnesota
Herald-Leader The,Siloam Springs,Ark.,Arkansas
Great Neck Record,Great Neck,N.Y.,New York
Southwest Daily News,Sulphur,La.,Louisiana
Aitkin Independent Age,Aitkin,Minn.,Minnesota
Taunton Daily Gazette,Taunton,Mass.,Massachusetts
Smithtown NewsThe,Smithtown,N.Y.,New York
Springfield Connection,Springfield,Va.,Virginia
Secaucus Reporter,Secaucus,N.J.,New Jersey
Sierra County Sentinel,Truth or Consequences,N.M.,New Mexico
Calhoun County Journal,Bruce,Miss.,Mississippi
San Marino Tribune,San Marino,Calif.,California
El Reno Tribune,El Reno,Okla.,Oklahoma
Dawson News & Advertiser,Dawsonville,Ga.,Georgia
Somerset SpectatorThe,Somerset,Mass.,Massachusetts
Shakopee Valley News,Shakopee,Minn.,Minnesota
St Charles Herald-Guide,Boutte,La.,Louisiana
Foley Onlooker,Foley,Ala.,Alabama
Jackson Progress-Argus,Jackson,Ga.,Georgia
Morehead NewsThe,Morehead,Ky.,Kentucky
Pike County Express,Pittsfield,Ill.,Illinois
Urbana Daily Citizen,Urbana,Ohio,Ohio
Northville Record,Northville,Mich.,Michigan
Tipton Conservative and Advertiser,Tipton,Iowa,Iowa
Altus Times,Altus,Okla.,Oklahoma
Islander News,Key Biscayne,Fla.,Florida
Cordele Dispatch,Cordele,Ga.,Georgia
Mineral County Independent News,Hawthorne,Nev.,Nevada
Observer,La Grande,Ore.,Oregon
Port Aransas South Jetty,Port Aransas,Texas,Texas
Wakefield Daily Item,Wakefield,Mass.,Massachusetts
Observer Tribune,Mendham,N.J.,New Jersey
Call News,Citronelle,Ala.,Alabama
Messenger,Madison,N.C.,North Carolina
Gretna Guide,Gretna,Neb.,Nebraska
Peoria Times,Peoria,Ariz.,Arizona
Parke County Sentinel,Rockville,Ind.,Indiana
Woburn Advocate,Woburn,Mass.,Massachusetts
Washington County News,Abingdon,Va.,Virginia
Southside Sentinel The,Urbanna,Va.,Virginia
Chanhassen Villager,Chanhassen,Minn.,Minnesota
Hondo Anvil Herald,Hondo,Texas,Texas
El Defensor Chieftain,Socorro,N.M.,New Mexico
South Washington County Bulletin,Cottage Grove,Minn.,Minnesota
Lake Forester,Lake Forest,Ill.,Illinois
El Paso County Advertiser & News,Fountain Valley,Colo.,Colorado
Winfield Daily Courier,Winfield,Kan.,Kansas
Odessan,Odessa,Mo.,Missouri
Star-News,McCall,Idaho,Idaho
Montrose Daily Press,Montrose,Colo.,Colorado
Weymouth News,Weymouth,Mass.,Massachusetts
Madison Eagle The,Madison,Va.,Virginia
Geauga County Maple Leaf,Chardon,Ohio,Ohio
Beatrice Daily Sun,Beatrice,Neb.,Nebraska
Sapulpa Daily Herald,Sapulpa,Okla.,Oklahoma
Wharton Journal-Spectator,Wharton,Texas,Texas
Jeanerette Enterprise,Jeanerette,La.,Louisiana
Mountain Sun,Kerrville,Texas,Texas
Donaldsonville ChiefThe,Donaldsonville,La.,Louisiana
Wakulla News The,Crawfordville,Fla.,Florida
Huntsville Item,Huntsville,Texas,Texas
Journal Sentinel,Reidsville,Ga.,Georgia
Rankin Record,Brandon,Miss.,Mississippi
Waxahachie Daily Light,Waxahachie,Texas,Texas
Berkeley Independent,Moncks Corner,S.C.,South Carolina
Times of Fountain Hills,Fountain Hills,Ariz.,Arizona
Paramount Journal The,Paramount,Calif.,California
Colbert County Reporter,Tuscumbia,Ala.,Alabama
East Lauderdale News,Rogersville,Ala.,Alabama
Times-Herald,Forrest City,Ark.,Arkansas
Clay County Progress,Hayesville,N.C.,North Carolina
Yell County Record,Danville,Ark.,Arkansas
Four Oaks-Benson News in Review,Benson,N.C.,North Carolina
Las Vegas Optic,Las Vegas,N.M.,New Mexico
News-Herald,Lenoir City,Tenn.,Tennessee
Pocahontas Star Herald,Pocahontas,Ark.,Arkansas
Journal Enterprise,Providence,Ky.,Kentucky
Jessamine Journal,Nicholasville,Ky.,Kentucky
Posey County News The,New Harmony,Ind.,Indiana
Henry County Local,New Castle,Ky.,Kentucky
Moorefield Examiner and Weekender,Moorefield,W.Va.,West Virginia
Palisade Tribune,Palisade,Colo.,Colorado
Times-Gazette,Hillsboro,Ohio,Ohio
Sopris Sun,Carbondale,Colo.,Colorado
Journal & Noble County LeaderThe,Caldwell,Ohio,Ohio
Redwood Times,Garberville,Calif.,California
Fairbury Journal-News,Fairbury,Neb.,Nebraska
Modoc County Record,Alturas,Calif.,California
Duxbury Clipper,Duxbury,Mass.,Massachusetts
Southbridge Evening News,Southbridge,Mass.,Massachusetts
Foxboro Reporter,Foxboro,Mass.,Massachusetts
Westfield News,Westfield,Mass.,Massachusetts
Charlestown Patriot-Bridge,Boston,Mass.,Massachusetts
Chelsea Record,Chelsea,Mass.,Massachusetts
Delavan Enterprise The,Delavan,Wisc.,Wisconsin
Sacandaga Express,Amsterdam,N.Y.,New York
Sun Chronicle,Saco,Maine,Maine
Carroll County Independent,Center Ossipee,N.H.,New Hampshire
Boothbay Register,Boothbay Harbor,Maine,Maine
Tri-County News,New Holstein,Wisc.,Wisconsin
Moody County Enterprise,Flandreau,S.D.,South Dakota
Banner Journal,Black River Falls,Wisc.,Wisconsin
Benzie County Record-Patriot,Frankfort,Mich.,Michigan
Penobscot Times,Old Town,Maine,Maine
Mille Lacs Messenger,Isle,Minn.,Minnesota
Sault Sainte Marie Evening News,Sault Ste Marie,Mich.,Michigan
Olympia Review,Minier,Ill.,Illinois
South Whidbey Record,Langley,Wash.,Washington
Manville News,Manville,N.J.,New Jersey
Shenandoah Valley-Herald,Woodstock,Va.,Virginia
Spencer County Journal-Democrat,Spencer,Ind.,Indiana
Galena Gazette,Galena,Ill.,Illinois
County Ledger-Press,Balsam Lake,Wisc.,Wisconsin
Juneau Empire,Juneau,Alaska,Alaska
Okmulgee Daily Times,Okmulgee,Okla.,Oklahoma
Emery County Progress,Castle Dale,Utah,Utah
Crowley Post-Signal,Crowley,La.,Louisiana
Clay Today,Green Cove Springs,Fla.,Florida
Pine Journal,Cloquet,Minn.,Minnesota
Evening Leader The,St Marys,Ohio,Ohio
Saratogian,Saratoga Springs,N.Y.,New York
Gallipolis Daily Tribune,Gallipolis,Ohio,Ohio
Weatherford Daily News,Weatherford,Okla.,Oklahoma
Superior Telegram The,Superior,Wisc.,Wisconsin
Northwest Signal,Napoleon,Ohio,Ohio
Ashley News Observer,Crossett,Ark.,Arkansas
Dixon's Independent Voice,Dixon,Calif.,California
Banner-Independent,Booneville,Miss.,Mississippi
Ware River News,Ware,Mass.,Massachusetts
News Leader,Northfield,Ohio,Ohio
Solana Beach Sun,Solana Beach,Calif.,California
Boonville Herald & Adirondack Tourist,Boonville,N.Y.,New York
St John Valley Times,Madawaska,Maine,Maine
Daily News,Eden,N.C.,North Carolina
Greenville Advocate,Greenville,Ill.,Illinois
Athens Daily Review,Athens,Texas,Texas
Harris County Journal,Hamilton,Ga.,Georgia
Madill Record,Madill,Okla.,Oklahoma
Leader,Lucerne Valley,Calif.,California
Lewis County Herald,Vanceburg,Ky.,Kentucky
Attica Hub,Attica,Ohio,Ohio
Newport Navalog,Newport,R.I.,Rhode Island
Woodstock Times,Woodstock,N.Y.,New York
Forest Grove Leader,Forest Grove,Ore.,Oregon
Record,Troy,N.Y.,New York
Milford Times,Milford,Mich.,Michigan
Standard Democrat,Sikeston,Mo.,Missouri
Maple Valley News,Nashville,Mich.,Michigan
Seguin Gazette-Enterprise,Seguin,Texas,Texas
Union County Local Source,Union,N.J.,New Jersey
Tuckerton Beacon,Tuckerton,N.J.,New Jersey
Wickenburg Sun,Wickenburg,Ariz.,Arizona
Hardin County Independent,Elizabethtown,Ky.,Kentucky
Dunn County News,Menomonie,Wisc.,Wisconsin
South County Spotlight,Scappoose,Ore.,Oregon
Statesman-Examiner,Colville,Wash.,Washington
Chanute Tribune,Chanute,Kan.,Kansas
Centreville Press,Centreville,Ala.,Alabama
ThisWeek German Village Gazette,Columbus,Ohio,Ohio
Advance-Yeoman,La Center,Ky.,Kentucky
Delta-Waverly Community News,Grand Ledge,Mich.,Michigan
Camden News,Camden,Ark.,Arkansas
Burleson County Citizen Tribune,Caldwell,Texas,Texas
New Prague Times,New Prague,Minn.,Minnesota
Big Spring Herald,Big Spring,Texas,Texas
Nokoa-The Observer,Austin,Texas,Texas
Courier-Wedge,Durand,Wisc.,Wisconsin
Vinita Daily Journal,Vinita,Okla.,Oklahoma
Eaton Rapids Community News,Mason,Mich.,Michigan
Gardner News,Gardner,Mass.,Massachusetts
Coastal Bend Herald,Rockport,Texas,Texas
Record,Gainesville,Fla.,Florida
Kershaw News-Era,Kershaw,S.C.,South Carolina
Marin Scope,Sausalito,Calif.,California
Sky-Hi News,Granby,Colo.,Colorado
Dresden Transcript,Dresden,Ohio,Ohio
Souderton Independent,Souderton,Pa.,Pennsylvania
Courier,Upland,Ind.,Indiana
Star Courier,Northern Cambria,Pa.,Pennsylvania
Courier-Standard-Enterprise,Fort Plain,N.Y.,New York
News Guard,Lincoln City,Ore.,Oregon
Daily Triplicate,Crescent City,Calif.,California
Puxico Press,Puxico,Mo.,Missouri
Mercer Island Reporter,Mercer Island,Wash.,Washington
Record Delta,Buckhannon,W.Va.,West Virginia
Hays Free Press,Buda,Texas,Texas
Greene County Democrat,Eutaw,Ala.,Alabama
Jones County News,Gray,Ga.,Georgia
Laughlin Nevada Times,Laughlin,Nev.,Nevada
Interior Journal,Stanford,Ky.,Kentucky
Index The,Hermitage,Mo.,Missouri
Zionsville Times Sentinel,Zionsville,Ind.,Indiana
Decatur Daily Democrat,Decatur,Ind.,Indiana
Winthrop Sun-Transcript,Winthrop,Mass.,Massachusetts
Black Hills Pioneer,Spearfish,S.D.,South Dakota
East Meadow Herald,East Meadow,N.Y.,New York
North Reading Transcript,North Reading,Mass.,Massachusetts
Edwardsville Intelligencer,Edwardsville,Ill.,Illinois
Fulton County Expositor,Wauseon,Ohio,Ohio
Owasso Reporter,Owasso,Okla.,Oklahoma
Point Reyes Light,Point Reyes Station,Calif.,California
South Beach Bulletin,Westport,Wash.,Washington
Chippewa Herald,Chippewa Falls,Wisc.,Wisconsin
Douglas Budget,Douglas,Wyo.,Wyoming
ThisWeek Northwest  News,Columbus,Ohio,Ohio
Tenafly Suburbanite,Tenafly,N.J.,New Jersey
Navigator & Journal-Register,Albion,Ill.,Illinois
River Reporter,Narrowsburg,N.Y.,New York
Brookings Register,Brookings,S.D.,South Dakota
Catoosa County News,Ringgold,Ga.,Georgia
Madison Press,London,Ohio,Ohio
South Alabamian,Jackson,Ala.,Alabama
Dodge County Pioneer,Mayville,Wisc.,Wisconsin
Morgan County News,Wartburg,Tenn.,Tennessee
Forest View Life,Forest View,Ill.,Illinois
Berrien Press,Nashville,Ga.,Georgia
Reporter,Hillsboro,Texas,Texas
Claxton Enterprise,Claxton,Ga.,Georgia
Berlin Reporter,Berlin,N.H.,New Hampshire
Barron News-Shield,Barron,Wisc.,Wisconsin
Bastrop Daily Enterprise,Bastrop,La.,Louisiana
Erwin Record,Erwin,Tenn.,Tennessee
West Orange Chronicle,West Orange,N.J.,New Jersey
News-Commercial,Collins,Miss.,Mississippi
Tri State Defender,Memphis,Tenn.,Tennessee
Quay County Sun,Tucumcari,N.M.,New Mexico
Smith Mountain Eagle,Rocky Mount,Va.,Virginia
Star-Review,North Syracuse,N.Y.,New York
Monitor Herald,Tomah,Wisc.,Wisconsin
Stoneham Sun,Stoneham,Mass.,Massachusetts
New Hyde Park Herald Courier,Williston Park,N.Y.,New York
New Canaan News,New Canaan,Conn.,Connecticut
New Canaan Advertiser,New Canaan,Conn.,Connecticut
Madera Tribune,Madera,Calif.,California
Dixie County Advocate,Cross City,Fla.,Florida
Nassau County Record,Callahan,Fla.,Florida
Jena-Times Olla-Tullos Signal,Jena,La.,Louisiana
Comanche Chief,Comanche,Texas,Texas
Tallassee Tribune,Tallassee,Ala.,Alabama
Forest-Blade,Swainsboro,Ga.,Georgia
True Citizen,Waynesboro,Ga.,Georgia
Western Star,Bessemer,Ala.,Alabama
Standard Sentinel,Saluda,S.C.,South Carolina
Towns County Herald,Hiawassee,Ga.,Georgia
Canyon News The,Canyon,Texas,Texas
Crockett County Times,Alamo,Tenn.,Tennessee
Bertie Ledger-Advance,Windsor,N.C.,North Carolina
Paragould Daily Press,Paragould,Ark.,Arkansas
News of Orange County,Hillsborough,N.C.,North Carolina
Weekly Vista,Bella Vista,Ark.,Arkansas
Stewart-Houston Times,Dover,Tenn.,Tennessee
Arkansas City Traveler,Arkansas City,Kan.,Kansas
Edmonson News,Brownsville,Ky.,Kentucky
Banner-Press,Marble Hill,Mo.,Missouri
Hughson Chronicle,Hughson,Calif.,California
Mammoth Times,Mammoth Lakes,Calif.,California
Versailles Leader-Statesman,Versailles,Mo.,Missouri
Times Record,Denton,Md.,Maryland
Greensburg Daily News,Greensburg,Ind.,Indiana
Wasatch Wave,Heber City,Utah,Utah
Lowell Ledger,Lowell,Mich.,Michigan
Austin Daily Herald,Austin,Minn.,Minnesota
Beaverton Valley Times,Portland,Ore.,Oregon
Melrose Beacon,Melrose,Minn.,Minnesota
Spooner Advocate,Spooner,Wisc.,Wisconsin
Advance Leader,Oakmont,Pa.,Pennsylvania
Provincetown Banner,Provincetown,Mass.,Massachusetts
Chronicle The,Dartmouth,Mass.,Massachusetts
Bristol Press,Bristol,Conn.,Connecticut
Altoona Herald-Index,Altoona,Iowa,Iowa
Daily Tribune,Royal Oak,Mich.,Michigan
Beacon The,Acton,Mass.,Massachusetts
Farmville Herald,Farmville,Va.,Virginia
Hudson Register Star/Sunday Register,Hudson,N.Y.,New York
Sweetwater Reporter,Sweetwater,Texas,Texas
Texas Mohair Weekly,Rocksprings,Texas,Texas
Parkland Press,Allentown,Pa.,Pennsylvania
Observer,Vail,Iowa,Iowa
Nisqually Valley News,Yelm,Wash.,Washington
Era-Leader,Franklinton,La.,Louisiana
News-Democrat,Waverly,Tenn.,Tennessee
San Benito News,San Benito,Texas,Texas
Loomis News,Loomis,Calif.,California
Beeville Bee-Picayune,Beeville,Texas,Texas
Daily Union,Shelbyville,Ill.,Illinois
Cleveland Advocate,Cleveland,Texas,Texas
Char-Koosta News,Pablo,Mont.,Montana
Marysville Advocate,Marysville,Kan.,Kansas
Ridgefiled Park Patriot,Ridgefield Park,N.J.,New Jersey
Douglas County Sentinel,Douglasville,Ga.,Georgia
Preston County News,Terra Alta,W.Va.,West Virginia
Bellville Times,Bellville,Texas,Texas
North Port Sun,North Port,Fla.,Florida
Albion News,Albion,Pa.,Pennsylvania
News and Sentinel,Colebrook,N.H.,New Hampshire
People-Sentinel,Barnwell,S.C.,South Carolina
Brazil Times,Brazil,Ind.,Indiana
Aroostook Republican and News,Caribou,Maine,Maine
Hannibal Courier-Post,Hannibal,Mo.,Missouri
Morrow County Sentinel,Mount Gilead,Ohio,Ohio
Journal and Republican,Lowville,N.Y.,New York
Lemont Reporter/Met,Lemont,Ill.,Illinois
Dickenson Star,Clintwood,Va.,Virginia
Adirondack Daily Enterprise,Saranac Lake,N.Y.,New York
Ketchikan Daily News,Ketchikan,Alaska,Alaska
Trumbull Times,Trumbull,Conn.,Connecticut
Sullivan Daily Times,Sullivan,Ind.,Indiana
Saugus Advertiser,Saugus,Mass.,Massachusetts
Madison County Journal,Jefferson,Ga.,Georgia
Madison County Journal,Danielsville,Ga.,Georgia
Harrison Press,Harrison,Ohio,Ohio
Catskill Mountain News,Arkville,N.Y.,New York
Manhasset Press,Manhasset,N.Y.,New York
North Little Rock Times,North Little Rock,Ark.,Arkansas
Havana Herald,Havana,Fla.,Florida
Pampa News,Pampa,Texas,Texas
Tahlequah Daily Press,Tahlequah,Okla.,Oklahoma
West Virginia Daily News,Lewisburg,W.Va.,West Virginia
Coal Country Times,Carlinville,Ill.,Illinois
Falls City Journal,Falls City,Neb.,Nebraska
Keith County News,Ogallala,Neb.,Nebraska
Advertiser Democrat,Norway,Maine,Maine
Rockford Area News Leader,Rockford,Minn.,Minnesota
Clearwater Progress,Kamiah,Idaho,Idaho
Silver State Post,Deer Lodge,Mont.,Montana
Watauga Democrat,Boone,N.C.,North Carolina
Oconomowoc Enterprise,Oconomowoc,Wisc.,Wisconsin
Regional NewsThe,Palos Heights,Ill.,Illinois
Belton Journal,Belton,Texas,Texas
Garrard Central Record,Lancaster,Ky.,Kentucky
St Genevieve Herald,St Genevieve,Mo.,Missouri
Tompkinsville News,Tompkinsville,Ky.,Kentucky
Beverly News,Midlothian,Ill.,Illinois
Mountain Home News,Mountain Home,Idaho,Idaho
Cook County News-Herald,Grand Marais,Minn.,Minnesota
Washington County News,Chatom,Ala.,Alabama
DeWitt ObserverThe,DeWitt,Iowa,Iowa
Winn Parish Enterprise-News American,Winnfield,La.,Louisiana
Wilson County Citizen,Fredonia,Kan.,Kansas
Sealy News,Sealy,Texas,Texas
Monroe Watchman,Union,W.Va.,West Virginia
Rowlett Lakeshore Times,Rowlett,Texas,Texas
Forks Forum & Peninsula Herald,Forks,Wash.,Washington
Clay County Courier,Corning,Ark.,Arkansas
Richmond Register The,Richmond,Ky.,Kentucky
Moberly Monitor-Index,Moberly,Mo.,Missouri
Post & Mail,Columbia City,Ind.,Indiana
Levittown Tribune,Levittown,N.Y.,New York
Azle News,Azle,Texas,Texas
Enterprise-Tocsin,Indianola,Miss.,Mississippi
Sheridan Headlight,Sheridan,Ark.,Arkansas
Jackson County Sun,McKee,Ky.,Kentucky
Free Press-Progress,Nokomis,Ill.,Illinois
Mount Olive Tribune,Mount Olive,N.C.,North Carolina
Trinity Journal,Weaverville,Calif.,California
Courier Standard Enterprise,Amsterdam,N.Y.,New York
Marshall County Tribune,Lewisburg,Tenn.,Tennessee
Sawyer County Record,Hayward,Wisc.,Wisconsin
Weatherford Democrat,Weatherford,Texas,Texas
Staunton Star-Times,Staunton,Ill.,Illinois
Holbrook Tribune-News,Holbrook,Ariz.,Arizona
Pickens County Herald,Carrollton,Ala.,Alabama
Shelby Daily Globe,Shelby,Ohio,Ohio
Bellevue Leader,Bellevue,Neb.,Nebraska
North County News,Yorktown Heights,N.Y.,New York
Tribune-Press,Gouverneur,N.Y.,New York
Texas Jewish Post,Dallas,Texas,Texas
Dawson Community News,Dawsonville,Ga.,Georgia
Leavenworth Times The,Leavenworth,Kan.,Kansas
Wayne Independent The,Honesdale,Pa.,Pennsylvania
Braintree Forum,Braintree,Mass.,Massachusetts
Winnsboro News,Winnsboro,Texas,Texas
Scuppernong Reminder,Columbia,N.C.,North Carolina
Macon County Times,Lafayette,Tenn.,Tennessee
Jamestown News,Jamestown,N.C.,North Carolina
Ramsey Reporter,Ramsey,N.J.,New Jersey
Zephyrhills News,Zephyrhills,Fla.,Florida
Stigler News-Sentinel,Stigler,Okla.,Oklahoma
Daily Reporter,Spencer,Iowa,Iowa
Smoky Mountain Times,Bryson City,N.C.,North Carolina
Karnes Countywide,Karnes City,Texas,Texas
Gilchrist County Journal,Trenton,Fla.,Florida
Comal County Beacon,Canyon Lake,Texas,Texas
Canyon Lake Week,Canyon Lake,Texas,Texas
Ocean Springs Record,Ocean Springs,Miss.,Mississippi
Navarre Press,Navarre,Fla.,Florida
Islander The,St Simons Island,Ga.,Georgia
Bryan County News,Richmond Hill,Ga.,Georgia
Enterprise & Interstate Progress,Mansfield,La.,Louisiana
Cleburne Times-Review,Cleburne,Texas,Texas
Colorado City Record,Colorado City,Texas,Texas
Ellis County Press,Ferris,Texas,Texas
Auburn Villager,Auburn,Ala.,Alabama
Terrell Tribune,Terrell,Texas,Texas
Thomaston Times,Thomaston,Ga.,Georgia
Rockwall County News,Rockwall,Texas,Texas
Herald,Truth or Consequences,N.M.,New Mexico
Edgefield Advertiser,Edgefield,S.C.,South Carolina
Oconee Enterprise,Watkinsville,Ga.,Georgia
South Pasadena Review,South Pasadena,Calif.,California
Marion Star & Mullins Enterprise,Marion,S.C.,South Carolina
Atoka County Times,Atoka,Okla.,Oklahoma
Red Bay News,Red Bay,Ala.,Alabama
Victorville Post Express,Victorville,Calif.,California
Adelanto Bulletin,Adelanto,Calif.,California
Anadarko News,Anadarko,Okla.,Oklahoma
Mustang News,Mustang,Okla.,Oklahoma
Los Alamos Monitor,Los Alamos,N.M.,New Mexico
Alamance News,Graham,N.C.,North Carolina
Franklin Favorite,Franklin,Ky.,Kentucky
Smyth County News & Messenger,Marion,Va.,Virginia
Miami News-Record,Miami,Okla.,Oklahoma
York Town Crier/Poquoson Post,Yorktown,Va.,Virginia
Hilmar Times,Hilmar,Calif.,California
Jackson Times,Jackson,Ky.,Kentucky
Beattyville Enterprise,Beattyville,Ky.,Kentucky
Berea Citizen,Berea,Ky.,Kentucky
Andover American,Andover,Kan.,Kansas
Somerset Herald,Princess Anne,Md.,Maryland
North County News,Red Bud,Ill.,Illinois
Gunnison Country Times,Gunnison,Colo.,Colorado
Osage County Herald-Chronicle,Osage City,Kan.,Kansas
Sunday Times-Sentinel,Gallipolis,Ohio,Ohio
Parsons Advocate,Parsons,W.Va.,West Virginia
Ranchland News,Simla,Colo.,Colorado
Snowmass Sun,Snowmass Village,Colo.,Colorado
Kearney Courier,Kearney,Mo.,Missouri
Tyler Star News,Sistersville,W.Va.,West Virginia
Upper Darby Press,Upper Darby,Pa.,Pennsylvania
Progressor Times,Carey,Ohio,Ohio
Mohawk Leader,Sycamore,Ohio,Ohio
Sag Harbor Express,Sag Harbor,N.Y.,New York
Block Island Times The,Block Island,R.I.,Rhode Island
Titusville Herald,Titusville,Pa.,Pennsylvania
Rawlins Daily Times,Rawlins,Wyo.,Wyoming
Des Plaines Valley News,Summit,Ill.,Illinois
Tecumseh Herald,Tecumseh,Mich.,Michigan
Dyersville Commercial,Dyersville,Iowa,Iowa
Lake Geneva Regional News,Lake Geneva,Wisc.,Wisconsin
Star Valley Independent,Afton,Wyo.,Wyoming
Pinedale Roundup,Pinedale,Wyo.,Wyoming
Henrietta Post,Henrietta,N.Y.,New York
Lake Placid News,Lake Placid,N.Y.,New York
Ogdensburg Journal,Ogdensburg,N.Y.,New York
Powell Tribune,Powell,Wyo.,Wyoming
Piscataquis ObserverThe,Dover Foxcroft,Maine,Maine
Lone Peak Lookout,Big Sky,Mont.,Montana
Wallowa County Chieftain,Enterprise,Ore.,Oregon
Monroe Monitor/Valley News,Monroe,Wash.,Washington
Stanwood/Camano News,Stanwood,Wash.,Washington
Havre Daily News,Havre,Mont.,Montana
Fairborn Daily Herald,Fairborn,Ohio,Ohio
Addison Press,Addison,Ill.,Illinois
Navasota Examiner,Navasota,Texas,Texas
Jeffersonian Democrat,Brookville,Pa.,Pennsylvania
Homes County Hub,Millersburg,Ohio,Ohio
Salem News,Salem,Ohio,Ohio
LaRue County Herald News,Hodgenville,Ky.,Kentucky
Hancock County Journal-Pilot,Carthage,Ill.,Illinois
Delano Record,Delano,Calif.,California
Annapolis Times,Annapolis,Md.,Maryland
Kilgore News Herald,Kilgore,Texas,Texas
Sylvania Telephone,Sylvania,Ga.,Georgia
Sudbury Town Crier,Sudbury,Mass.,Massachusetts
Daily Record,Lawrenceville,Ill.,Illinois
Riverside Palaver,Fairmount,Ind.,Indiana
Amherst New Era Progress,Amherst,Va.,Virginia
Arlington Advocate,Arlington,Mass.,Massachusetts
Plymouth Observer,Plymouth,Mich.,Michigan
Abilene Reflector-Chronicle,Abilene,Kan.,Kansas
Mineral Daily News-Tribune,Keyser,W.Va.,West Virginia
Hickory Hills Citizen,Hickory Hills,Ill.,Illinois
Elburn Herald,Elburn,Ill.,Illinois
Point Pleasant Register,Point Pleasant,W.Va.,West Virginia
Glen Rock Gazette,Glen Rock,N.J.,New Jersey
Moundsville Daily Echo,Moundsville,W.Va.,West Virginia
Los Angeles Wave - Northeast Edition,Los Angeles,Calif.,California
Malvern Daily Record,Malvern,Ark.,Arkansas
Advertiser-Courier The,Hermann,Mo.,Missouri
Dillsburg Banner,Dillsburg,Pa.,Pennsylvania
